prod,author,date,review_format,stars,comments
Deep Work (Rules for Focused Success in a Distracted World),Kindle Customer,"January 17, 2016",Verified Purchase,5,"









  
  
    
  Congratulations for making a New YearÃ¢â‚¬â„¢s resolution to do regular physical exercise for weight loss and energy boost.  This is important for you and all those who care about your wellbeing.  However, to improve in your work accomplishments and professional value this year, you must build a different set of muscles:  your ability and commitment to concentrate on focused work.  In our hyper-active world of Internet-intensive temptation to spend time on relatively shallow and low-value activities, this has become exceedingly rare and underappreciated.In his valuable new book, Deep Work:  Rules for Focused Success in a Distracted World (Grand Central Publishing 2016), Georgetown Computer Science Professor Cal Newport teaches that the most valuable skill for todayÃ¢â‚¬â„¢s knowledge workers is the ability to do Ã¢â‚¬Å“activities performed in a state of distraction-free concentration that push your cognitive capabilities to their limit.Ã¢â‚¬Â  Those who possess this skill, create new value that is hard to replicate.You know this is true.  Think about the achievers you know Ã¢â‚¬â€œ whether they are entrepreneurs, executives, consultants, attorneys, engineers, physicians, therapists, sales reps, athletes or artists.  The top producers commit to work that requires focused concentration, always carefully working to reduce distractions.But you might not recognize just how difficult it is to do and how addicted you are to relatively shallow activities. In fact, a McKinsey study found that knowledge workers spend on average 60% of their workweek engaged in electronic communications and Internet searches, including 30% of time devoted to reading and answering email alone.  Newport advises that you score your own work behavior on these benchmarks.  He warns, Ã¢â‚¬Å“ubiquitous connectivity generates a devastatingly appealing buffet of distractionsÃ¢â‚¬Â and may be derailing your valuable and meaningful productivity.NewportÃ¢â‚¬â„¢s definition of his term Ã¢â‚¬Å“deep workÃ¢â‚¬Â is instructive:Professional activities performed in a state of distraction-free concentration that pushes your cognitive capabilities to their limit.  These efforts create new value, improve your skill, and are hard to replicate.Ã¢â‚¬ÂOne of the fascinating examples of a highly valued deep worker the Newport highlights in his book is Nate Silver, the statistician with an extraordinary record of accurately predicting the outcomes of elections and sports events, who is of particular prominence in 2016 as we enter another year of a presidential election in the United States.At the peak of the last presidential election of 2012, 70% of all traffic to the New York Times website was the blog with SilverÃ¢â‚¬â„¢s election forecast, and less than one year later at the young age of 36, ESPN hired him away from the Times to contribute content to a range of programming including sports, news, politics, weather and entertainment.  He knows how to use high-powered statistical software packages to analyze big data sets to generate answers to questions the masses want to know, and, as a result, commands the attention of eyeballs around the world.  SilverÃ¢â‚¬â„¢s high-skilled knowledge and proprietary methodology are elite in his field.As a result of deep work, Silver has two abilities that make him uniquely valuable in his field:1. The ability to master hard things;2. The ability to produce at a high level of quality and speed.These two abilities combine for what Newport calls the law of productivity, a formula that guides all top producers:Time spent X Intensity of Focus = High Quality of Work ProducedIn addition to the economic value produced by deep work, Newport devotes a long chapter citing numerous studies in neuroscience, psychology and philosophy and examples to explain how it is a source of meaning and satisfaction.The second part of the book Newport devotes to teaching us how to build the discipline of deep work.  Like physical exercise using weight training and aerobics, all the methods are hard, requiring you to break bad habits and adopt new disciplines.  But also like exercise, the good news is you can select from the many techniques he provides to suit your type of work, your personality and your values; it is not a one-size-fits all recipe.  Here are five of many practical suggestions in the book:1. Manage Email:a. Review daily the subject lines of each email you sent that day.  For each message, ask if it reduced distraction, proactively progressed your primary goals, delegated work where possible.b. Batch email reading and writing at specific times of day, and no more, resisting the temptation to view messages as they arrive.c. Discriminate about who and how you distribute your email address and be clear about the subjects that will get your attention.d. Ignore messages that will get you mired in unproductive communications.e. Write carefully thinking about the response you need and considering the limited time of others.2. Meditate on Productivitya. Devote time to think about a single problem or challenge during exercise and commute times.b. Be mindful of your focus throughout the workday.c. Imagine you have no connectivity at several times of your day.  Ask what you could/should do with time when you have no connectivity, like during time on an airplane.d. Focus on completing work you know is valuable, rather than just getting things done and crossing them off your to-do list.3. Schedule Every Minute of Every Daya. End your workday at a specific time because our capacity for deep work is limited.4. Conduct Cost/Benefit Analyses of Activitiesa. Quantify the depth of each activity in terms of advancing your goalsb. Say Ã¢â‚¬Å“noÃ¢â‚¬Â to activities that will not produce desirable outputc. Adjust or modify your work environment, whether you have complete control or inherit certain conditions created by your employer (such as the open floor plan championed by Facebook).5. Develop and Follow a Training Regimen to Build Concentration Musclesa. Read books instead of blogs, increasing protein intake and reducing carbs.b. Exercise your mind and memory to strengthen your ability to concentrate intensely.c. Make regular time for developing a new skill, like learning to dance, learning a foreign language, playing bridge or chess.Deep Work contains many more suggestions of how you can train your ability to concentrate and produce quality work that is valued.  I strongly suggest you read it and set up your program to exercise your work muscles.  Just as you trim your body fat with physical exercise, your new discipline will increase your professional productivity dramatically.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Joe Terrell,"August 20, 2019",Verified Purchase,3,"









  
  
    
  Cal Newport's ""Deep Work"" is a challenging and convicting read on our culture's inability to produce work that matters. According to Newport, as we shifted from a material economy to a knowledge economy, we began to increasingly rely services (email, Twitter, Slack, etc) that actually undermine our capability to do knowledge work well. Newport's solution is something he calls ""Deep Work,"" or ""professional activities performed in a state of distraction-free concentration that push your cognitive capabilities to their limit.""Parts of ""Deep Work"" are incredibly insightful and applicable. The chapter on our over glorification of ""unstructured free time"" and how its led to more work/life dissatisfaction was fascinating. Also, I've incorporated some of Newport's suggestions into my professional life (thankfully, I work in an environment conducive to Deep Work). However, other parts of ""Deep Work"" are incredibly dry and repetitive. At times, I felt that this book would've been better as a series of essays.There is a ton of valuable information in ""Deep Work"" and I found much of it very helpful, but I did glaze over more than a few times as I made my way through it (which, who knows, may actually prove Newport's hypothesis).

  
"
Deep Work (Rules for Focused Success in a Distracted World),Linda Tapp,"September 14, 2017",Verified Purchase,5,"









  
  
    
  I have a love/hate relationship with this book. I think I will forever feel guilty whenever I give in and partake in some of the shallow activities that the author specifically names as being time-wasters (and rightfully so). I love this book because it really was a bit like a smack in the face to wake up and notice where I was wasting time. Although it will take me much time to be able to do deep work like I would like to and like was described in the book, I have already found myself resisting the temptation to pull out my phone or check email when I get bored or stuck with a piece of work. I work for myself so there really is no one else but me to keep me on track. I took copious notes throughout the book and I will be reviewing them often but I really wish the author was accessible for questions. He seems to be the opposite of one of my favorite authors - Adam Grant. There is really no way to contact the author and even if you did,  it seems unlikely that he would answer you. He states that he can help more people by doing deep work and putting out more research and not wasting time responding to emails, etc. I have a few questions I would love to have answered but I really can't see anyway to do that. (In case you are reading this Mr. Newport, is it acceptable to lump together a bunch of shallow activities, like responding to emails, texting, watching the news and writing Amazon book reviews - exactly what I am doing now - all at the same time since none of them require deep work? Tomorrow will be the end of my first week trying to follow many of the book's suggestions for deep work and although it has been difficult, I am pleased with my progress and the quantity of high quality work I have been able to produce. I recommend this book to everyone!

  
"
Deep Work (Rules for Focused Success in a Distracted World),Ed White,"August 26, 2017",Verified Purchase,3,"









  
  
    
  This book has a good thesis and ably lays out research about and examples of people who have learned various methods and approaches of intense focus that produces great results. Much of the material is not new, but it's a good primer on the subject. Sometimes I thought the writer seemed a bit narrow in his outlook and had a weak understanding of differing character types and psychological frames. Overall I'm pleased to have read it and will go back to it, I'm sure.

  
"
Deep Work (Rules for Focused Success in a Distracted World),califitgal,"August 8, 2019",Verified Purchase,2,"









  
  
    
  Even though he has valid points, how practical is he in the real world. Cal is no doubt a smart guy, but he has always worked in academia and not in the corporate world. He must also have a wife at home that does all the housework, bills and child rearing while he can do his focused work Ã¢â‚¬Å“that is more importantÃ¢â‚¬Â in the real world. Why does he use women in the cases of Ã¢â‚¬Å“what not to do?Ã¢â‚¬Â

  
"
Deep Work (Rules for Focused Success in a Distracted World),kirtida gautam,"February 9, 2021",Verified Purchase,4,"









  
  
    
  ""You don't need a rarified job; you need instead, a rarified approach to your work.""~ Pg. 91In a compelling yet friendly voice, Cal Newport advises the readers to understand where the core of his/her work priority should lay, in committing to shallow work that s/he is made to believe should matter, or towards the deep work, which is the reason why s/he has committed to this profession at the first place.This book is an antidote to the mentality of the hustle culture that contemporary professional life touts as a key to success.Newport's point: Shallow work won't take you to the same place where deep work will; so choose sensibly.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Ryan,"June 10, 2020",Verified Purchase,3,"









  
  
    
  Many times through reading this book I said to myself ""get to the point."" You can tell the author went to great lengths to piece this project together. Yet I feel like this whole book was probably only worthy of a blog post.* Establish priority ""must get this ish done"" tasks of your job, business, project, or study.* Prioritize the list by most important to least important* Create a timer for yourself; let's say 90m* Focus solely on that task uninterrupted until the timer stops, take a break* Repeat process until the task is complete.* Move onto the next item within your priority list.* Repeat process until all tasks are complete.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Eric J Allain,"April 13, 2020",Verified Purchase,4,"









  
  
    
  I have long lamented that the industrial scientist of today (thatÃ¢â‚¬â„¢s me) is swamped by so much non scientific stuff in his or her day that doing the actual science that they were ostensibly hired for is next to impossible.  A never ending tidal wave of e-mails, a calendar peppered with  meetings and constant interruption from inter office instant communication (Slack and the like) put the mind in a continual distracted state that prevents the deep thought needed for scientific discovery.  The irony is that we tend to laud and promote scientists who embrace this Ã¢â‚¬â„¢shallowÃ¢â‚¬â„¢ work even though they must abandon their commitment to scientific discovery to do so.  Those of us who resist this (yep, me again) tend to be viewed as behind the times curmudgeons that canÃ¢â‚¬â„¢t cope with the Ã¢â‚¬Ëœculture of connectivityÃ¢â‚¬â„¢.I was thrilled to find that a bright and young computer science professor at Georgetown University feels much the same as I do and took the time to write a book about it.  The author defines Ã¢â‚¬Ëœdeep workÃ¢â‚¬â„¢ as professional activities performed in a state of distraction-free concentration that push your cognitive capabilities to their limit. These efforts create new value, improve your skill, and are hard to replicate.The book Ã¢â‚¬Å“Deep WorkÃ¢â‚¬Â is divided into two parts.  The first attempts to support the Ã¢â‚¬Å“Deep Work HypothesisÃ¢â‚¬Â,  which asserts:  The ability to perform deep work is becoming increasingly rare at exactly the same time it is becoming increasingly valuable in our economy. As a consequence, the few who cultivate this skill, and then make it the core of their working life, will thrive.The second half of the book attempts to supply techniques for maximizing such deep work in your daily schedule.I found the first part of the book to be very  insightful and an excellent defense of ideas that I have long felt myself but ineffectively communicated or defended.  I feel validated and more determined to ensure I am doing the deep work that will make the most of my ability, education and talent to deliver great value to the company that I work for.  The second half of the book fell a bit flat for me.  This may be due to the fact that over the years I have already developed many of my own strategies for securing time for deep work.  But the advice and suggestions in the second half of the book may be quite valuable for others.Altogether, I highly recommend the book to knowledge workers struggling to find the uninterrupted time to do the high impact and high value Ã¢â‚¬Ëœdeep workÃ¢â‚¬â„¢ they were hired for.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Cary Gray,"September 5, 2016",Verified Purchase,5,"









  
  
    
  As I read Deep Work, I felt both spurred on to continue in my own work, and to adopt a number of effective suggestions the author makes.  Although he at one point makes a staunch stand against social media, essentially saying that because it is distracting and (very debatably) unnecessary, that we should eliminate it, I think he has a point.  One of his major theses in the book is just that: be mindful of the the way you use your time, especially while using electronics, and remove all unnecessary or detrimental distraction in your life if you want to prioritize your life's work.I highly recommend this book to writers, artists, and people struggling to manage their social media use, or fit time into a busy schedule for personal projects.  In an age of noise, instant gratification, and an expectation of immediate availability, this book thankfully pushes back.  It reminds us that work of depth and quality, and a life well-lived and thought out, are sacred.  They also are essential for your success in rapidly changing knowledge economy.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Vasana,"December 21, 2018",Verified Purchase,5,"









  
  
    
  I read this book in an attempt to help mentally prepare for a rigorous graduate program that I will be starting soon. Overall I found it helpful to get in the right mindset and do think that I took away some helpful pieces of advice, but frankly itÃ¢â‚¬â„¢s nothing that I couldnÃ¢â‚¬â„¢t have told myself. It is more of a helpful booster to motivate you to actually take the steps necessary to obtain a high degree of focus and concentration in a world that so desperately tries to distract us from this type of cognitive practice. I will say I wish there were more references to female figures and less to men... but would still recommend if looking to get in the right mindset or change your daily habits.

  
"
Deep Work (Rules for Focused Success in a Distracted World),R. Foster,"May 28, 2017",Verified Purchase,5,"









  
  
    
  I've just finished reading this book and by now my close friends and family are annoyed.  It has such amazing revelations about society today, our happiness, our purpose, our accomplishments that I just won't stop talking about it.  It has literally changed the way I think about my adult life, and how I can create substantial results with surprisingly low effort compared to what I would have imagined.PLEASE do yourself and favor and check it out.  There are also several podcast/interviews with Cal where he goes through the highlights if you need some extra convincing.  But don't sell yourself short, get the book.  It's like 10-15 bucks.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Reposado,"January 3, 2018",Verified Purchase,2,"









  
  
    
  Like the other less than 4 star reviews said, this book is a run-on blog post. No interviews. Not everyone is or want's to be an elite, machine rivaling programmer or economist but yet the author seems to hammer those to occupations. No good tips or steps to perform 'Deep Work'.Pretentious.1. Stay hydrated2. Good nights sleep3. Avoid distractions (turn off phone, facebook, email)4. Do the work you set aside until completeTa-da.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Katya Seberson,"January 14, 2016",Verified Purchase,5,"









  
  
    
  I am the biggest fan of Cal Newport! I read his stuff religiously and couldn't wait for his new book. I ordered it ahead of time (clearly).I now recommend it to all of my clients (I teach speed reading and memory to adults and teens).He outlines rules of focused success so you can work LESS and achieve MORE.Targeted Pomodoro sessions are my key to success. As a result, of applying these strategies, I was able to get more done in the second week of January than I did in 2 weeks in December and I thought I was being very focused back in December.Thank you, Cal, for all you work and an enormous impact onÃ¢â‚¬â€¹ my and my client's success in school and career.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Ilya Grigorik,"January 31, 2016",Verified Purchase,5,"









  
  
    
  The ability to concentrate is an act of deep work. The ability to concentrate is necessary to learn and to push yourself and your career forward. The ability to concentrate is, also, a skill that must be trained -- we mislead ourselves into thinking that it's just a skill we ""turn on"" when conditions are right; alas, that's not how it works.Doing deep work requires a lot of preparation, practice, strength, and follow through. For example, are the things you working the right things? Do you prioritize, schedule, and protect your ability to deep work in the face of endless distractions - e.g. meetings, email threads, social media, etc? And how do you manage all this while balancing the need to stay responsive to your colleagues, family, and friends?This book is full of gems. There are dozens of insights and compelling arguments for why you should prioritize deep work. Similarly, there is a lot of practical advice on how to structure your days to do deep work - e.g. routines, rules, scheduling tips, and other tricks to get you on the way.Inspiring, motivational, and full of hands-on tips. In short, a must read if you want to get ahead.

  
"
Deep Work (Rules for Focused Success in a Distracted World),JBA,"February 28, 2021",Verified Purchase,2,"









  
  
    
  Books like these make me wish I shopped at a brick-and-mortar bookstore as I'd have been able to see it was a thumb through at best.  Some nice reminders on how to work better but frankly the only new suggestion that I found valuable was scheduling every hour of the day - not only to keep the eye on the prize but to keep others from putting invites on one's calendar willy-nilly.

  
"
Deep Work (Rules for Focused Success in a Distracted World),"Jason Gregory (Author of Effortless Living, Fasting the Mind, Enlightenment Now, & The Science and Practice of Humility)","May 29, 2016",Verified Purchase,5,"









  
  
    
  Cal Newport's work is essential to understand in a world becoming continually distracted. He explains a way of life that usually only writers, philosophers, and artists are familiar with. In doing so, he extracts that way of life unfamiliar to most and makes it accessible for everyone. This is the practice of deep work. The practice of deep work will help anyone manage their time better and drain the shallows of distractive habits that the mind becomes accustomed to, constantly checking email or social media, for example. Deep work ultimately is a lifestyle design philosophy that works for people who are especially creative. Yet I don't think that deep work is just for ""knowledge workers"" as Cal postulates. I feel it is for everyone. I believe athletes, artists, and people with ordinary jobs will benefit from this book. Essential reading for anyone in the modern world.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Ryan,"May 18, 2018",Verified Purchase,3,"









  
  
    
  The first couple of chapters were good, but after that it was just unnecessary fluff. The ideas in this book would be better expressed as an article or 2, not drug out for an entire novel.

  
"
Digital Minimalism: Choosing a Focused Life in a Noisy World,Haical Sajovic Haddad,"February 6, 2019",Verified Purchase,5,"









  
  
    
  The reading is compelling, instructional, and practical.  I couldn’t put Digital Minimalism down, and ended up ""consuming” it in only 4 sits.  Because of that, I feel compelled to share a review before you make any commitment.Let me divide this review into 3 parts.  First I'll share reasons why I chose to read the book and some personal takeaways.  Next, a summary of the book including short excerpts I highlighted while taking notes.  Last, I'll suggest a few complementary readings.PERSONAL THOUGHTSI probably pre-ordered this book because I’ve been intrigued by how the overused of modern technologies—specially social networks and social media—have influenced our societies during the last 10 years.  This latest wave is actually recent, and being in my early 30s I still remember clearly how life was during high school and early days in college before this explosion.We all acknowledge the wonders of technology, how the development of new tools has helped the prosperity of our societies in many dimensions.  However, the opposite is equally important—consequences that deserve to be understood and evaluated.  Besides the social, emotional and psychological aspects, which are the main focus of Digital Minimalism, I also care about the impacts on our physical health caused by technology overexposure.  Not only how the devices shape our physical posture for worst over the years but also the detrimental effects of electromagnetic fields to our overall health.That said, I’ve been trying to be mindful about technology use during the last 4-5 years.  I still have social network accounts, but I feel quite odd among my peers because I’ve been checking these accounts less often than ever—about once a month—but I rarely post pictures or comments.  It brings a deep sense of freedom and calmness.  In terms of smartphone use, I keep it on airplane mode for around 80% of the awake time, and I often try to go on adventures up in the mountains to be away from signal access for days or weeks at a time.  This desire to be unreachable has grown over time and, although it makes me feel grounded and present, I admit that can be quite selfish of me towards loved ones.Reading this book helped me better understand the forces behind addictive technologies, exposed me to pragmatic ideas to implement the minimalism philosophy, and supported my previous thoughts on how we can better handle digital overexposure.SUMMARY[Intro]  Digital minimalism, according to Cal Newport, is a philosophy where we focus our online time on a small number of carefully selected and optimized activities that support the things we value.  We learn how the author got interested in the topic after receiving feedbacks from his previous book.[Chapter 1]  Cal starts with a refresher—bringing back to the early and “potentially innocent"" days of Facebook and the iPhone—then, he soon shows how these new technologies took the lead by dictating how we behave and how we feel by pushing us to overuse their products for as long as possible.  Interesting story about how NYU professor Adam Alter shifted his research topic after getting “trapped” for 6 uninterrupted hours playing a game on his phone during a cross-country flight.  Cal then explains 2 of the main forces used by technology companies to encourage behavior addiction: [1] Intermittent positive reinforcement.  [2] The drive for social approval.[Chapter 2]  Here is a primer on digital minimalism.  We learn that ""to reestablish control, we need to move beyond tweaks and instead rebuild our relationship with technology from scratch, using our deeply held values as a foundation.”  Cal explains why digital minimalism works through 3 principles:  [1] The first principle argues that, when we clutter our time and attention with many apps, social networks, and services, we create an overall negative cost compared to the benefits of each individual item in isolation.  I was absolutely delighted to read his arguments by sharing Henry Thoreau’s decision to live for two years in a cabin near the Walden Pond.  Thoreau's book, Walden, has actually impacted my life tremendously when I first read as a freshmen in college.  [2] The second principle says that besides choosing a technology that supports our values, we should also think how we should use them to extract full benefits—optimizing, therefore, the returns.  Here Cal shows how “the law of diminishing returns” can be directly correlated with potential negative effects when technology usage surpass the benefits they can generate.  [3] The last principle shows that being more intentional about how we engage with new technologies is one way to become sincerely satisfied.  For that, the author illustrates the Amish's approach toward technology: “they start with the things they value most, then work backward to ask whether a given new technology performs more harm than good with respect to their values.”[Chapter 3]  In this chapter Cal shares a system for digital decluttering by transforming our relationship with technology.  He encourages us to apply a rapid transformation:  “something that occurs in a short period of time and is executed with enough conviction that the results are likely to stick.”  He divides the process in 3 steps:  [1] The first one is to establish which ones of the new “optional” technologies we can step away from without creating major problems in either our professional or personal life.  [2] The second step is to take the leap and give ourselves a 30-day break while we rediscover the activities that generate real satisfaction without being attached to our devices.  [3] The final step is the reintroduction, building it from the scratch, following the principles previously explained in chapter 2 by choosing carefully the apps/tools and using them with a deeper sense of purpose.[Chapter 4]  This is most probably my favorite chapter, where we learn the value of solitude.  Cal starts by sharing an interesting story of President Lincoln’s decision to reside in a cottage during months at time, communicating back and forth to the White House on horseback.  The author then shares the benefits of solitude such as being a prerequisite for original and creative thoughts, as well as a deeper appreciation for interpersonal connections when they occur.  He then shifts gears toward the impacts of solitude depravation, showing, for example, that the rise in anxiety-related problems among students coincide with the use of smartphones and social media.  At the end of the chapter we learn 3 practices to foster more solitude moments in our daily lives:  [1] To leave our phones and devices at home.  [2] To go on long walks.  [3] To spend time journaling.[Chapter 5]  Now we jump to a chapter rich in social psychology lessons.  We first learn how our brains evolved to desire social interactions, but differently than the rich face-to-face encounters, during the last decade or so we have been bombarded by digital communication tools, encouraging interactions through short, text-based messages and approval clicks.  At the end Cal offers practices to develop meaningful “conversation-centric communication.”  They range from avoiding clicking the “like” button all the way to holding more meaningful conversations during office hours.[Chapter 6]  Now we jump to an empowering chapter.  We learn to cultivate high-quality leisure time at the same time we declutter the low-quality digital distractions from our lives.  They both, in fact, work together in order to create a more purposeful habit.  This chapter is filled with real life examples of successful stories where helpful lessons are drawn at the end of each example.  Like in the previous chapters, Cal doesn’t share only examples, but also practical ways to adopt his claims.  My favorite suggestion is about scheduling in advance the time we'll be spending on low-quality leisure.[Chapter 7]  The final chapter is about building a more resistant mindset to avoid the power of the attention economy—which is “business sector that makes money gathering consumers' attention and then repacking and selling it to advertisers.""  Practices are provided when further discipline is required to avoid exploitation:  [1] Delete social media from our phone to remove the ability to access them at any time.  If we're going to use social medial, we should access them through a web browser.  [2] Turn our devices into purposeful tools, diminishing the number of things they enable us to do.  In Cal's own words “I’m not talking about occasionally blocking some sites when working on a particularly hard project.  I want you instead to think about these services as being blocked by default, and made available to you on an intentional schedule.”  [3] To use social media like a social media professional does.  [4] To embrace the slow media consumption by maximizing the quality of what we consume.  [5] Making the hard choice to switch from smartphone to a “dumb” phone.COMPLEMENTARY READINGSWell, it doesn’t matter where in the spectrum we fall as long as we vow to move the needle towards a more meaningful and intentional technology use, diminishing our “natural” tendency to become dependent on digital devices.  While reading Digital Minimalism I thought about book titles that could complement the content.[1] Essentialism, by Greg McKeown, is definitely the one that comes to mind first.  It helped me focus on less but more important tasks, giving clarity to what matters most.[2] Originals, by Adam Grant, helped me see the world of creativity through a different angle by being more true to who I'm.[3] Atomic Habits, by James Clear, has already influenced me to build better and more meaningful habits during the last 3 months.  It can be an extremely helpful source to apply the lessons suggested in Chapter 6.[4] Last, if you'd like to learn a bit more about electromagnetic fields and how we can minimize the dangers, look no further than The Non-Tinfoil Guide to EMFs, by Nicolas Pineault.Take good care,Haical

  
"
Digital Minimalism: Choosing a Focused Life in a Noisy World,MATT SEIDHOLZ,"February 8, 2019",Verified Purchase,3,"









  
  
    
  If you already want to curb the role of digital stuff in your life, you won't get that much value out of this book.Cal makes a great case for WHY to pursue digital minimalism. But I already know why -- my digital addictions are messing up my life. What I wanted to know is HOW.On that, Cal doesn't have as much to say. A few tips -- mostly the ""digital declutter,"" a 30-day moratorium on the digital services in your life -- are pretty useful. For one, it finally convinced me to buy Freedom, an app that regulates your internet use.The rest of the book is thickly padded with anecdotes. They had me flipping pages, wishing we could get to the point.$15 can either get you this book, or half of a year of Freedom. If I could roll back the clock I know where I'd put my money.

  
"
Digital Minimalism: Choosing a Focused Life in a Noisy World,Samantha,"February 22, 2019",Verified Purchase,2,"









  
  
    
  After reading Newport's book, Deep Work, earlier this year, I eagerly pre-ordered Digital Minimalism. I found Deep Work to be profound, thought-provoking, and somewhat life-changing.With Digital Minimalism, I just want my time and money back. In this book, Newport explores a ""new"" idea (it's not) that social media use and technology are hurting us in ways we did not expect and that digital minimalism(!) is the answer. He had thousands of his blog readers experiment with a 1-month technology sabbath/abstinence and reported their findings because he himself has never used social media (e.g., never joined Facebook). I found it odd for someone like Newport to talk as if he knew the experiences and difficulties of technology addiction when he himself has never felt the helpless compulsion to check their smartphone when bored as most people are today. It's like someone who's never been overweight providing thoughts, practices, and strategies to a fat person on losing weight to -- it sort of just rings hollow. He poorly defends himself by saying that because he's not fallen trap to modern technologies, he has experience of seeing things from the other side.The rest of the book is mostly things you probably already know or common sense stuff about technology addiction. There are a few useful tips on how to combat our overuse of technology, which is why I've given the book 2 stars instead of 1.I would not recommend this book; for ~$15 and only 250 pages of fluff, your money is better spent elsewhere.

  
"
Digital Minimalism: Choosing a Focused Life in a Noisy World,Brian Johnson | Optimize,"February 5, 2019",Verified Purchase,5,"









  
  
    
  Cal Newport is one of my favorite thinkers. He got his Ph.D. in Computer Science from MIT and is now a Professor at Georgetown. He’s also a bestselling author of a number of books including one of my top all-time favorites: Deep Work.Given the fact that the fastest way to Optimize your life is to STOP doing things that are sub-optimal AND the fact that (for nearly all of us) our use of technology is the #1 thing that “Needs work!,” I think it’s SUPER important for us to figure out how to best use all the technology available to us WITHOUT becoming lost in a tsunami of inputs.Enter: Our new philosophy of technology use: Digital Minimalism.Enter: My strong recommendation of the book.If you’ve been looking for a coherent approach on how to, as per the sub-title of the book, Choose a Focused Life in a Noisy World, I think you’ll love Digital Minimalism as much as I did.

  
"
Digital Minimalism: Choosing a Focused Life in a Noisy World,Jeff B.,"February 12, 2019",Verified Purchase,3,"









  
  
    
  Some articles should become books while some books should remain blog posts. This book is an example of the latter.I was riveted by Newport’s previous book, Deep Work, having reread it several times. I was captivated by Newport’s TEDx talk about leaving social media. After reading Newport’s blog posts on Digital Minimalism in late 2017 and having followed several general minimalism blogs for the last few years (e.g. Joshua Becker), I had high hopes for this book after first hearing about it several months before its release. Honestly, I do not know what I was expecting from this book, but I did not find “it” in Newport’s latest release.The book contains much helpful background information about the digital “slot machines” we carry in our pockets and yearning for repeated dopamine hits. The case was well made for the problem at hand. The book fell short in solutions. For every solution proposed, several pages of background and anectodatal stories/case studies were presented. The examples were weak and unmoving. While the solutions presented were solid overall, they did not need to be stretched out over several pages to fill pages in a book. As stated previously, this book felt forced as it would have been adequate as a series of blog posts or long form article. Like the minimalism movement overall, there is not much left to say on this topic which has not already been said repeatedly online through many voices.While Newport has managed to avoid the trappings of social media, it seems like he was lured into the publisher’s net to create another best seller. Unfortunately, Digital Minimalism does not deliver.

  
"
Digital Minimalism: Choosing a Focused Life in a Noisy World,T.S. Daily,"February 5, 2019",Verified Purchase,4,"









  
  
    
  This is a great and very readable book that'll probably change how you relate to social media and your phone.  You should read it ASAP and I'll be recommending it to everyone I know.Unlike a lot of authors, Cal Newport actually walks the walk too.  You don't get tenure at Georgetown AND write a couple bestselling books (with kids) unless you really have your act together.But ... I had two issues with the book.  (1) it wasn't organized as well as it could have been, and (2) it contradicted itself in minor ways.  The biggest example of the latter is when, early on, Newport bashes on the tips/tricks/hacks (""turn off notifications"") that are occasionally recommended to people trying to spend less time with their phone, before later giving many similar tips and tricks (good ones to be sure) himself.The book also has a sort of weird structure -- I figured Part 1 would be the philosophy of it all, where Part 2 would be the implementation, but instead you get the philosophy + the details of the ""30 Day Declutter"" (which Newport has talked about in interviews leading up to the book) in Part 1, then a detour discussion of leisure, then back to some very good points about the economics of attention + social media to wrap things up.It's all very good, and like I said, you should definitely read it (I could see myself reading it multiple times), but reluctantly I'd say those two things are enough to dock a star.

  
"
Digital Minimalism: Choosing a Focused Life in a Noisy World,S,"February 7, 2019",Verified Purchase,4,"









  
  
    
  Being a huge fan of the author's superb book ""Deep Work"" (easily one of the most important books I've ever read), I came to Digital Minimalism expecting some good stuff.  And it delivered.  Really well done and highly recommended.I really only had one complaint with the book — that the author felt it somehow incumbent upon him to include a case study near the very end in which some professor named Jennifer ""prefers to be addressed as 'they / them.'""  And while you could see he made every effort to refer to Jennifer as Jennifer, here and there the awkward ""they"" or ""them"" or ""their"" had to be shoehorned into a sentence to fit this person's kooky gender politics.  And the thing is, the author could have chosen any of 1,000 other similar case studies to make exactly the same points.  There was NOTHING unique about Jennifer that would make her (er, them?!) a vital inclusion in the book.  Which makes me think she (er, they?!) were added for no other reason than to tip a hat to the contemporary gender idiocy going on today.Anyhow.  Otherwise, the book was fantastic.  And it really is quite important.  I bought it as a book AND on Audible, though when it came to that stupid section with Jennifer I had to fast forward through it on Audible because I couldn't stomach listening to all the weird ""they"" and ""them"" references.

  
"
